Date,Time,Shift,Place,Crime type,Gender,Latitude,Longitude,Link
2025-07-24,0:15,Night,Mohammadpur,Mugging,Male,23.76779889,90.35642257,https://www.thedailystar.net/news/bangladesh/crime-justice/news/mugging-journalist-4-cops-withdrawn-over-inaction-3947876
2025-07-24,10:00,Morning,Demra,Robbery,Female,23.72072235,90.48339703,https://www.thedailystar.net/news/bangladesh/crime-justice/news/man-beaten-death-demra-3946126
2025-07-18,0:15,Night,Dhanmondi,Mugging,Male,23.74471266,90.37573317,https://www.thedailystar.net/news/bangladesh/crime-justice/news/man-mugged-metres-duty-traffic-police-3942676
2025-07-11,6:00,Morning,Shyamoli,Mugging,Male,23.77106268,90.3631185,https://www.thedailystar.net/news/bangladesh/crime-justice/news/two-accused-confess-armed-robbery-shyamoli-3942611
2025-07-13,,Night,Savar,Gang Rape,Female,23.84918682,90.25762639,https://www.thedailystar.net/news/bangladesh/crime-justice/news/two-cases-filed-over-gang-rape-and-murder-savar-3941796
2025-07-15,19:00,Evening,Adabor,Murder,Male,23.77306961,90.35310983,https://www.thedailystar.net/news/bangladesh/crime-justice/news/man-shot-dead-during-arbitration-adabar-3941491
2025-07-14,22:30,Night,Mohakhali,Rape,Female,23.77781541,90.40707836,https://www.thedailystar.net/news/bangladesh/crime-justice/news/man-held-over-rape-9-yr-old-girl-mohakhali-3940166
2025-07-08,17:00,Afternoon,Old Dhaka,Murder,Male,23.72934321,90.37781043,https://www.thedailystar.net/news/bangladesh/crime-justice/news/justice-sohag-students-people-rally-nationwide-3938191
2025-07-05,18:00,Evening,Bhasantek,Body Found,Female,23.81114757,90.39468436,https://www.thedailystar.net/news/bangladesh/crime-justice/news/8-yr-old-found-dead-bhasantek-family-suspects-murder-3933611
2025-07-03,10:00,Morning,Green Road,Mugging,Female,23.7492289,90.38647608,https://www.thedailystar.net/news/bangladesh/crime-justice/news/hsc-examinee-allegedly-mugged-stabbed-green-road-3931566
2025-06-30,23:30,Morning,Nazim Uddin Road,Mugging,Male,23.7218545,90.39944855,https://www.thedailystar.net/news/bangladesh/crime-justice/news/ssc-examinee-stabbed-muggers-mobile-dies-dmch-3930646
2025-06-27,14:30,Noon,Savar,Stab,Male,23.84918682,90.25762639,https://www.thedailystar.net/news/bangladesh/crime-justice/news/savar-rickshaw-puller-dies-day-after-stabbing-3927991
2025-06-25,,Night,Suhrawardy Hospital,Stab,Male,23.76937524,90.37139645,https://www.thedailystar.net/news/bangladesh/crime-justice/news/man-stabbed-death-front-suhrawardy-hospital-3925321
2025-06-12,5:00,Morning,Wari,Mugging,Male,23.71756825,90.41688171,https://www.thedailystar.net/news/bangladesh/crime-justice/news/two-injured-mugging-incidents-capital-3916381
2025-06-12,,Night,Mohammadpur,Mugging,Male,23.76779889,90.35642257,https://www.thedailystar.net/news/bangladesh/crime-justice/news/two-injured-mugging-incidents-capital-3916381
2025-06-22,,Night,Mirpur 11,Stab,Male,23.8171034,90.36738198,https://www.thedailystar.net/news/bangladesh/crime-justice/news/two-killed-separate-stabbing-incidents-mirpur-kamrangirchar
2025-06-22,0:00,Night,Kamrangirchar,Stab,Male,23.71832025,90.36825597,https://www.thedailystar.net/news/bangladesh/crime-justice/news/two-killed-separate-stabbing-incidents-mirpur-kamrangirchar
2025-06-11,23:30,Morning,Sabujbagh,Body Found,Male,23.73955593,90.44388434,https://www.thedailystar.net/news/bangladesh/crime-justice/news/dismembered-body-missing-trader-found-3915371
2025-06-09,8:00,Morning,Mirpur 11,Body Found,Male,23.8171034,90.36738198,https://www.thedailystar.net/news/bangladesh/crime-justice/news/mans-hacked-body-recovered-mirpur-11-3913846
2025-06-01,14:30,Noon,Darus Salam,Murder,Male,23.78358762,90.3527823,https://www.thedailystar.net/news/bangladesh/crime-justice/news/mob-kills-two-citys-darus-salam-3907931
2025-05-27,,Morning,Dakshinkhan,Murder,Female,23.86341015,90.42988723,https://www.thedailystar.net/news/bangladesh/crime-justice/news/couple-2-others-murdered-city-3905501
2025-05-26,10:00,Morning,Mirpur,Shot,Male,23.84501091,90.37240731,https://www.thedailystar.net/news/bangladesh/crime-justice/news/muggers-shoot-money-changer-mirpur-take-tk-22-lakh-3904551
2025-05-27,5:00,Night,Dakshinkhan,Murder,Female,23.86341015,90.42988723,https://www.thedailystar.net/news/bangladesh/crime-justice/news/woman-killed-husband-dhakas-dakkhinkhan-3905066
2025-05-26,20:35,Night,Newmarket,Harassment,Female,22.56052535,88.35265114,https://www.thedailystar.net/news/bangladesh/crime-justice/news/3-vendors-held-over-attempted-murder-2-du-students-protesting
2025-05-26,20:35,Night,Newmarket,Harassment,Male,22.56052535,88.35265114,https://www.thedailystar.net/news/bangladesh/crime-justice/news/3-vendors-held-over-attempted-murder-2-du-students-protesting
2025-05-23,21:45,Night,Sayedabad,Stab,Male,23.79167481,90.42447231,https://www.thedailystar.net/news/bangladesh/crime-justice/news/2-sis-stabbed-during-anti-narcotics-drive-3902341
2025-05-19,21:30,Night,Savar,Murder,Male,23.84918682,90.25762639,https://www.thedailystar.net/news/bangladesh/crime-justice/news/man-shot-dead-savar-3898586
2025-05-16,20:00,Night,Dhanmondi,Murder,Male,23.75026584,90.36281044,https://www.thedailystar.net/news/bangladesh/crime-justice/news/photographer-killed-after-being-lured-fake-event-police-3897236
2025-05-16,19:30,Evening,Zigatola,Stab,Male,23.73943092,90.37534087,https://www.thedailystar.net/news/bangladesh/crime-justice/news/two-stabbed-death-capital-3896401
2025-04-26,5:45,Night,Siddheswari,Robbery,Female,23.74351,90.4089077,https://www.thedailystar.net/news/bangladesh/crime-justice/news/woman-dragged-along-road-muggers-car-snatching-incident-3881521
2025-04-19,,Night,Hatirjheel,Murder,Male,23.77059284,90.41408237,https://www.thedailystar.net/news/bangladesh/crime-justice/news/jubo-dal-activist-shot-critically-injured-hatirjheel-3875526
2025-04-18,16:00,Afternoon,Banani,Stab,Male,23.79043572,90.40308768,https://www.thedailystar.net/news/bangladesh/crime-justice/news/pvt-univ-student-stabbed-death-hours-after-brawl-3875236
2025-04-17,0:30,Night,Shewrapara,Robbery,Female,23.79097764,90.37507371,https://www.thedailystar.net/news/bangladesh/crime-justice/news/one-held-over-shewrapara-mugging-3874261
2025-04-01,19:00,Evening,Rampura,Harassment,Female,23.76126626,90.4209966,https://www.thedailystar.net/news/bangladesh/crime-justice/news/new-age-journo-stalked-assaulted-rampura-3862496
2025-03-24,12:00,Noon,Diabari,Body Found,Male,23.79660413,90.34088418,https://www.thedailystar.net/news/bangladesh/crime-justice/news/ha-meem-group-gms-body-found-uttara-3857556
2025-03-17,21:00,Night,Gulshan,Murder,Male,23.80221562,90.41073523,https://www.thedailystar.net/news/bangladesh/crime-justice/news/gulshan-murder-cops-suspect-gang-rivalry-3854406
2025-03-17,23:00,Night,Pallabi,Rape,Female,23.83318624,90.35828808,https://www.thedailystar.net/news/bangladesh/crime-justice/news/woman-gang-raped-city-two-held-3851961
2025-01-26,3:30,Night,Hazaribagh,Stab,Female,23.73624866,90.36474948,https://www.thedailystar.net/news/bangladesh/crime-justice/news/woman-stabbed-death-hazaribagh-3810251
2025-01-28,18:30,Evening,Jatrabari,Stab,Male,23.7124583,90.43493089,https://www.thedailystar.net/news/bangladesh/crime-justice/news/engineer-stabbed-death-jatrabari-3810851
2025-01-25,16:15,Afternoon,Mohammadpur,Mugging,Male,23.76779889,90.35642257,https://www.thedailystar.net/news/bangladesh/crime-justice/news/muggings-even-daylight-rattle-mohammadpur-3810866
2025-01-29,14:45,Noon,Adabor,Mugging,Male,23.77306961,90.35310983,https://www.thedailystar.net/news/bangladesh/crime-justice/news/muggers-hack-young-mans-hand-3812676
2025-02-02,8:45,Morning,Hatirjheel,Murder,Female,23.77059284,90.41408237,https://www.thedailystar.net/news/bangladesh/crime-justice/news/13-year-old-girl-gang-raped-murder-dhaka-3815176
2025-01-16,12:30,Noon,Dakshinkhan,Kidnap,Female,23.86341015,90.42988723,https://www.thedailystar.net/news/bangladesh/crime-justice/news/13-year-old-girl-gang-raped-murder-dhaka-3815176
2025-02-06,19:30,Evening,Matuail,Murder,Male,23.70622973,90.46269167,https://www.thedailystar.net/news/bangladesh/crime-justice/news/man-stabbed-death-jatrabari-3818731
2025-02-14,12:30,Noon,Savar,Mugging,Male,23.84918682,90.25762639,https://www.thedailystar.net/news/bangladesh/crime-justice/news/3-stabbed-muggers-moving-bus-savar-3824491
2025-02-15,12:30,Noon,Dakshinkhan,Murder,Male,23.86341015,90.42988723,https://www.thedailystar.net/news/bangladesh/crime-justice/news/man-killed-during-robbery-dhakas-kawla-3824821
2025-02-14,3:30,Night,Pallabi,Shot,Male,23.83318624,90.35828808,https://www.thedailystar.net/news/bangladesh/crime-justice/news/siblings-shot-pallabi-3824711
2025-02-14,1:30,Night,Pallabi,Shot,Female,23.83318624,90.35828808,https://www.thedailystar.net/news/bangladesh/crime-justice/news/siblings-shot-pallabi-3824711
2025-02-19,0:30,Night,Mohammadpur,Murder,Male,23.76779889,90.35642257,https://www.thedailystar.net/news/bangladesh/crime-justice/news/2-shot-dead-gunfight-jt-forces-city-3829021
2025-01-25,19:00,Evening,Mohammadpur,Mugging,Male,23.76779889,90.35642257,https://www.thedailystar.net/news/bangladesh/crime-justice/news/muggings-even-daylight-rattle-mohammadpur-3810866
2024-10-19,,Noon,Mohammadpur,Mugging,Female,23.76779889,90.35642257,https://www.thedailystar.net/news/bangladesh/crime-justice/news/muggings-even-daylight-rattle-mohammadpur-3810866
2024-10-20,9:45,Morning,Mohammadpur,Mugging,,23.76779889,90.35642257,https://www.thedailystar.net/news/bangladesh/crime-justice/news/muggings-even-daylight-rattle-mohammadpur-3810866
2024-10-21,6:30,Morning,Mohammadpur,Mugging,Female,23.76779889,90.35642257,https://www.thedailystar.net/news/bangladesh/crime-justice/news/muggings-even-daylight-rattle-mohammadpur-3810866
2024-10-24,6:30,Morning,Mohammadpur,Mugging,Male,23.76779889,90.35642257,https://www.thedailystar.net/news/bangladesh/crime-justice/news/muggings-even-daylight-rattle-mohammadpur-3810866
2026-02-21,14:00,Noon,Jatrabari,Stab,,23.70581847,90.43978836,https://www.prothomalo.com/bangladesh/crime/gs7pxpk6u4
2026-01-31,21:00,Night,Kamrangirchar,Rape,Female,23.71822981,90.36777154,https://www.prothomalo.com/bangladesh/crime/1falel0b1v
2026-01-10,16:00,Afternoon,Sabujbagh,Murder,Female,23.74847465,90.44091225,https://www.prothomalo.com/bangladesh/crime/ae235fuqkt
2025-12-31,14:30,Noon,Hazaribagh,Murder,,23.73167883,90.36131558,https://www.prothomalo.com/bangladesh/crime/qe7ayxrb26
2025-10-27,2:30,Night,Dhanmondi,Harassment,Female,23.74474912,90.37239535,https://www.prothomalo.com/bangladesh/capital/le26byz3e1
2025-10-11,14:30,Noon,Rampura,Murder,,23.75896095,90.428403,https://www.prothomalo.com/bangladesh/crime/lp0p7qd0zl
2025-10-05,10:00,Morning,Zigatola,Murder,,23.7448384,90.37820705,https://www.prothomalo.com/bangladesh/capital/3knr4xthkz
2025-10-05,6:30,Morning,Gendaria,Murder,Female,23.70135681,90.42881002,https://www.prothomalo.com/bangladesh/crime/7j7v6kboe0
2025-10-19,11:30,Morning,Armanitola,Stab,,23.71804275,90.40705616,https://www.prothomalo.com/bangladesh/crime/srtgbnf8d6
2025-10-03,14:00,Noon,Shahbag,Murder,,23.73713986,90.40014754,https://www.prothomalo.com/bangladesh/capital/xfjmeek99r
2025-09-23,20:00,Night,Rampura,Murder,,23.7507976,90.42442529,https://www.prothomalo.com/bangladesh/capital/rrk3roub5j
2025-09-13,21:00,Night,Nazim Uddin Road,Rape,,23.72446575,90.40531849,https://www.prothomalo.com/bangladesh/capital/tk85ag2o2z
2025-09-12,10:00,Morning,Rayerbag,Murder,Female,23.69747767,90.45786213,https://www.prothomalo.com/bangladesh/crime/6uy8ohshu6
2025-08-16,9:00,Morning,Mohakhali,Murder,,23.77091583,90.40421288,https://www.prothomalo.com/bangladesh/capital/ntvn7w0jir
2025-08-10,2:00,Night,Diabari,Murder,Female,23.79179474,90.34291062,https://www.prothomalo.com/bangladesh/crime/avmhf58y25
2025-07-14,20:00,Night,Mohakhali,Rape,Female,23.77640233,90.40574687,https://www.prothomalo.com/bangladesh/crime/86a615jshx
2025-07-14,3:00,Night,Wari,Accident,,23.72269595,90.4140921,https://www.prothomalo.com/bangladesh/capital/718oxk8q77
2025-07-10,1:00,Night,Siddheswari,Murder,,23.74982194,90.41123162,https://www.prothomalo.com/bangladesh/capital/oszgfffl4t
2025-07-02,6:00,Morning,Armanitola,Murder,,23.71552361,90.39744068,https://www.prothomalo.com/bangladesh/capital/iq3jebznh0
2025-06-22,22:00,Night,Mirpur 12,Murder,,23.82229918,90.35685065,https://www.prothomalo.com/bangladesh/crime/tuwcr10utc
2025-05-30,20:00,Night,Jatrabari,Accident,Female,23.7093544,90.43204323,https://www.prothomalo.com/bangladesh/capital/gn3ay4fc0r
2025-05-27,21:00,Night,Newmarket,Rape,Female,23.73395368,90.38536773,https://www.prothomalo.com/bangladesh/capital/w9v4wohmw3
2025-05-17,18:00,Evening,Zigatola,Murder,,23.73888561,90.37584446,https://www.prothomalo.com/bangladesh/capital/kgtgm20qfg
2025-05-10,20:00,Night,Shewrapara,Murder,Female,23.79039983,90.37538534,https://www.prothomalo.com/bangladesh/crime/2e0zj6fyd3
2025-05-08,22:00,Night,Green Road,Murder,,23.74500385,90.39083511,https://www.prothomalo.com/bangladesh/crime/2qnd441zjp
2025-03-21,6:00,Morning,Kalshi,Murder,,23.82125037,90.38333956,https://www.prothomalo.com/bangladesh/crime/11t7q3wu8f
2025-03-18,22:00,Night,Gulshan,Rape,Female,23.82976767,90.41991072,https://www.prothomalo.com/bangladesh/crime/w64s3fu175
2025-03-16,23:00,Night,Diabari,Murder,,23.80513694,90.34897677,https://www.prothomalo.com/bangladesh/crime/sss74acive
2025-03-08,1:00,Night,Kadamtali,Rape,Female,23.69558716,90.40364439,https://www.prothomalo.com/bangladesh/crime/nbxapvsjlw
2025-01-14,23:00,Night,Shahbag,Rape,Female,23.73954076,90.39606894,https://www.prothomalo.com/bangladesh/crime/kcjo5j7gqa
2024-12-18,20:30,Night,Rampura,Murder,Female,23.76693117,90.42876458,https://www.prothomalo.com/bangladesh/capital/otwslshmtd
2024-12-07,10:30,Morning,Kalshi,Rape,Female,23.83092893,90.37618173,https://www.prothomalo.com/bangladesh/capital/bqzmtp2lh8
2024-12-05,11:15,Morning,Diabari,Murder,Female,23.80548019,90.34872386,https://www.prothomalo.com/bangladesh/capital/jygygwvkn7
2024-12-02,22:00,Night,Diabari,Murder,Female,23.79746889,90.35163224,https://www.prothomalo.com/bangladesh/capital/jygygwvkn7
2024-11-27,10:00,Morning,Sabujbagh,Murder,Female,23.7303928,90.45452189,https://www.prothomalo.com/bangladesh/capital/wocoju1kky
2024-11-21,10:30,Morning,Uttara,Acid,Female,23.89053198,90.38267326,https://www.prothomalo.com/bangladesh/capital/5dmovbv9rh
2024-11-14,14:30,Noon,Dhanmondi,Stab,Female,23.75039972,90.36965911,https://www.prothomalo.com/bangladesh/capital/07kq0pkmsa
2024-11-10,10:00,Morning,Uttara,Stab,Female,23.87429596,90.37144502,https://www.prothomalo.com/bangladesh/crime/rjecmm1c0b
2024-11-01,6:00,Morning,Jatrabari,Murder,,23.71475301,90.4287983,https://www.prothomalo.com/bangladesh/capital/ndjymqqgk2
2024-10-28,20:15,Night,Sayedabad,Murder,Female,23.78263037,90.43329557,https://www.prothomalo.com/bangladesh/crime/wjjmwykcfe
2024-10-26,10:00,Morning,Sayedabad,Rape,Female,23.80427382,90.42437318,https://www.prothomalo.com/bangladesh/capital/jccnv3adlf
2024-10-20,10:00,Morning,Mohammadpur,Robbery,,23.76275339,90.35689393,https://www.prothomalo.com/bangladesh/capital/ur1vi20bx1
2024-10-15,15:30,Noon,Demra,Murder,Female,23.73572741,90.48797987,https://www.prothomalo.com/bangladesh/capital/3u2vezp4zj
2024-09-24,4:30,Night,Bhasantek,Murder,,23.83012347,90.41770108,https://www.prothomalo.com/bangladesh/capital/0de2jgyzfa
2024-08-07,23:00,Night,Hatirjheel,Murder,Female,23.7609827,90.40906601,https://www.prothomalo.com/bangladesh/capital/es33j5g1gf
2024-06-28,18:00,Evening,Dakshinkhan,Rape,Female,23.83701404,90.423444,https://www.prothomalo.com/bangladesh/crime/pv1uvb3hsn
2024-06-21,18:00,Evening,Matuail,Murder,Female,23.71105319,90.46566211,https://www.prothomalo.com/bangladesh/capital/noxc8amrc9
2024-05-27,12:00,Noon,Gulshan,Murder,,23.80406317,90.41526367,https://www.prothomalo.com/bangladesh/crime/gerctbix93
2024-05-26,12:00,Noon,Motijheel,Murder,,23.73065675,90.42152742,https://www.prothomalo.com/bangladesh/capital/p6j808f3tl
2024-05-24,2:30,Night,Mohakhali,Murder,,23.77156561,90.39205822,https://www.prothomalo.com/bangladesh/capital/o6qch9uty1
2024-05-21,14:30,Noon,300 Feet,Murder,Female,23.86055257,90.49840718,https://www.prothomalo.com/bangladesh/capital/35kh6pqfnq
2024-05-02,12:30,Noon,Kamalapur,Body Found,,23.74299272,90.43081071,https://www.prothomalo.com/bangladesh/capital/n09gg8stnj
2024-04-22,13:30,Noon,Adabor,Body Found,Female,23.77212349,90.34573984,https://www.prothomalo.com/bangladesh/capital/pwm8cds8ww
2024-04-20,10:00,Morning,Hatirjheel,Body Found,,23.76997362,90.41436743,https://www.prothomalo.com/bangladesh/capital/4yq6adgw0z
2024-04-14,10:00,Morning,Rampura,Body Found,,23.76844559,90.42220776,https://www.prothomalo.com/bangladesh/capital/4wa5fwod5d
2024-03-23,22:00,Night,Bhasantek,Murder,Female,23.82487413,90.39343918,https://www.prothomalo.com/bangladesh/crime/dpmlqw5czr
2024-03-20,9:30,Morning,Lalmatia,Murder,Female,23.75590369,90.36422167,https://www.prothomalo.com/bangladesh/crime/kki5dynfsi
2024-03-10,8:00,Morning,Diabari,Murder,,23.80531322,90.34893352,https://www.prothomalo.com/bangladesh/capital/df0zpswvz1
2024-03-10,5:30,Night,Demra,Murder,,23.73306185,90.48263575,https://www.prothomalo.com/bangladesh/crime/dqps9u4pic
2024-03-08,18:30,Evening,Jatrabari,Murder,,23.70358967,90.4407891,https://www.prothomalo.com/bangladesh/capital/7boz6a8w1f
2024-03-07,22:00,Night,Kamalapur,Murder,,23.73264327,90.43168125,https://www.prothomalo.com/bangladesh/crime/huaujfcshq
2024-02-26,12:30,Noon,Hazaribagh,Murder,Female,23.73471991,90.36025108,https://www.prothomalo.com/bangladesh/capital/cik9r8ymkn
2024-12-11,13:30,Noon,Wari,Acid,Female,23.71318953,90.40859473,https://www.prothomalo.com/bangladesh/crime/5hho4i0a4s
2024-01-24,10:30,Morning,Motijheel,Body Found,,23.72747608,90.4121512,https://www.prothomalo.com/bangladesh/capital/u8nd1oar6s
2024-01-10,10:00,Morning,Lalmatia,Murder,Female,23.75699462,90.36767541,https://www.prothomalo.com/bangladesh/capital/hinqy8mtck
2023-12-16,15:30,Noon,Sayedabad,Murder,,23.78300288,90.42959589,https://www.prothomalo.com/bangladesh/capital/f5za8ix04y
2023-12-02,5:30,Night,Green Road,Murder,Female,23.74346822,90.38812358,https://www.prothomalo.com/bangladesh/capital/750juzbesy
2023-12-02,5:00,Night,Shahbag,Murder,Female,23.74183581,90.3922233,https://www.prothomalo.com/bangladesh/capital/750juzbesy
2023-11-27,1:30,Night,Rayerbag,Stab,,23.69820554,90.45724626,https://www.prothomalo.com/bangladesh/capital/if7wk6jtno
2023-11-26,1:30,Night,Rayerbag,Stab,,23.69904932,90.45240812,https://www.prothomalo.com/bangladesh/capital/if7wk6jtno
2023-11-25,22:30,Night,Siddheswari,Murder,,23.75151221,90.41393428,https://www.prothomalo.com/bangladesh/capital/637izska03
2023-11-24,10:00,Morning,Jatrabari,Body Found,Female,23.71068505,90.4351491,https://www.prothomalo.com/bangladesh/capital/4gakvldh0q
2023-11-18,10:00,Morning,Dhaka Central Shaheed Minar,Body Found,,23.72585277,90.39719968,https://www.prothomalo.com/bangladesh/capital/56r1si1y2m
2023-11-14,16:30,Afternoon,Khilgaon,Body Found,,23.76009686,90.46311544,https://www.prothomalo.com/bangladesh/capital/4lehaqatg5
2023-10-18,10:00,Morning,Wari,Rape,Female,23.70850716,90.41132695,https://www.prothomalo.com/bangladesh/crime/w3gs0tzxp5
2023-10-15,11:00,Morning,Green Road,Murder,Female,23.75380485,90.38568828,https://www.prothomalo.com/bangladesh/capital/rsxsiwo90v
2023-10-14,22:30,Night,Adabor,Murder,,23.77830338,90.35506484,https://www.prothomalo.com/bangladesh/crime/v8avmcmh6f
2023-10-10,20:00,Night,Diabari,Body Found,,23.80110651,90.34337607,https://www.prothomalo.com/bangladesh/crime/ak3ncz67dx
2023-10-08,20:00,Night,Siddheswari,Murder,Female,23.7518973,90.40156258,https://www.prothomalo.com/bangladesh/capital/3wjfcexskx
2023-09-18,16:00,Afternoon,Dhaka Central Shaheed Minar,Body Found,Female,23.72267633,90.3923431,https://www.prothomalo.com/bangladesh/capital/m3zmxhp3sl
2023-08-17,20:30,Night,Siddheswari,Kidnap,Female,23.74292406,90.40743417,https://www.prothomalo.com/bangladesh/capital/tovvqb8yiu
2023-08-15,14:30,Noon,Kamrangirchar,Murder,Female,23.71227525,90.37187172,https://www.prothomalo.com/bangladesh/capital/po1k8ga7rj
2023-08-10,14:30,Noon,Bosila,Stab,,23.75472521,90.35931614,https://www.prothomalo.com/bangladesh/capital/24jbvboabq
